Strain ID	ST-Type	abcZ	bglA	cat	dapE	dat	ldh	lhkA
SRR1610014	88	12	12	12	1	3	1	4
SRR1610015	101	7	15	15	8	6	14	9
SRR1610017	88	12	12	12	1	3	1	4
SRR1745606	388	3	1	12	70	2	1	5
SRR1763800	663	88	79	12	3	18	1	5
SRR1767818	382	1	51	11	13	2	5	5
SRR1767827	382	1	51	11	13	2	5	5
SRR1783158	382	1	51	11	13	2	5	5
SRR1783164	382	1	51	11	13	2	5	5
SRR1805602	663	88	79	12	3	18	1	5
SRR1812795	1123	15	163	18	18	1	3	1
SRR1812797	1123	15	163	18	18	1	3	1
SRR1812798	1123	15	163	18	18	1	3	1
SRR1812875	1123	15	163	18	18	1	3	1
SRR1818017	325	7	14	10	19	1	8	1
SRR1917075	2	1	1	11	11	2	1	5
SRR1947009	3	4	4	4	3	2	1	5
SRR1980616	1661	1	1	11	11	2	1	239
SRR1980624	1661	1	1	11	11	2	1	239
SRR1982199	155	7	10	16	7	5	2	1
SRR2422721	6	3	9	9	3	3	1	5
SRR2533762	378	7	49	19	6	1	24	1
SRR2584342	378	7	49	19	6	1	24	1
SRR2584343	2	1	1	11	11	2	1	5
SRR2584346	378	7	49	19	6	1	24	1
SRR2585425	101	7	15	15	8	6	14	9
SRR2924557	6	3	9	9	3	3	1	5
SRR2924558	6	3	9	9	3	3	1	5
SRR2924593	6	3	9	9	3	3	1	5
SRR2924594	6	3	9	9	3	3	1	5
SRR2924601	199	9	10	15	6	8	26	1
SRR2924604	635	23	29	3	30	6	6	1
SRR2962368	489	11	9	12	3	3	1	4
SRR3108926	204	5	7	6	4	5	4	1
SRR3109060	361	5	5	18	21	39	2	6
SRR3112633	299	22	33	21	24	17	31	13
SRR3113964	330	34	39	11	60	3	1	2
SRR3173363	325	7	14	10	19	1	8	1
SRR3173364	325	7	14	10	19	1	8	1
SRR3173365	325	7	14	10	19	1	8	1
SRR3173373	6	3	9	9	3	3	1	5
SRR3173374	2	1	1	11	11	2	1	5
SRR3173375	5	2	1	11	3	3	1	7
SRR3173379	5	2	1	11	3	3	1	7
SRR3181837	554	2	1	9	1	3	5	5
SRR3181839	554	2	1	9	1	3	5	5
SRR3215346	1	3	1	1	1	3	1	3
SRR3215348	38	7	15	15	8	11	14	9
SRR3215349	7	5	8	5	7	6	2	1
SRR3215351	1	3	1	1	1	3	1	3
SRR3215364	7	5	8	5	7	6	2	1
SRR3345538	398	7	13	19	6	1	7	1
SRR3345539	8	5	6	2	9	5	3	1
SRR3345818	325	7	14	10	19	1	8	1
SRR3345855	121	7	6	8	8	6	37	1
SRR3345865	1	3	1	1	1	3	1	3
SRR3345876	325	7	14	10	19	1	8	1
SRR3345906	9	6	5	6	4	1	4	1
SRR3345918	9	6	5	6	4	1	4	1
SRR3345928	36	16	5	8	7	13	4	1
SRR3345929	9	6	5	6	4	1	4	1
SRR3372408	321	5	6	8	62	6	7	34
SRR3391877	29	15	10	18	18	1	3	1
SRR3391886	398	7	13	19	6	1	7	1
SRR3395016	1	3	1	1	1	3	1	3
SRR3606562	1	3	1	1	1	3	1	3
SRR3606570	2	1	1	11	11	2	1	5
SRR3606573	2	1	1	11	11	2	1	5
SRR3634424	378	7	49	19	6	1	24	1
SRR3659465	1	3	1	1	1	3	1	3
SRR3659466	1	3	1	1	1	3	1	3
SRR3660092	1	3	1	1	1	3	1	3
SRR3928667	2	1	1	11	11	2	1	5
SRR3930180	1	3	1	1	1	3	1	3
SRR3930183	1	3	1	1	1	3	1	3
SRR3930184	1	3	1	1	1	3	1	3
SRR3945509	121	7	6	8	8	6	37	1
SRR3945510	451	7	5	10	21	1	4	1
SRR3945582	5	2	1	11	3	3	1	7
SRR3945590	5	2	1	11	3	3	1	7
SRR3945591	5	2	1	11	3	3	1	7
SRR3945594	121	7	6	8	8	6	37	1
SRR3945595	7	5	8	5	7	6	2	1
SRR3945599	222	21	6	15	8	6	2	14
SRR3945600	224	11	3	12	38	3	94	2
SRR3945602	8	5	6	2	9	5	3	1
SRR3995860	321	5	6	8	62	6	7	34
SRR4031386	375	7	6	13	8	1	96	6
SRR4098791	155	7	10	16	7	5	2	1
SRR4301094	1	3	1	1	1	3	1	
SRR5000317	6	3	9	9	3	3	1	5
SRR5000319	6	3	9	9	3	3	1	5
SRR5066070	6	3	9	9	3	3	1	5
SRR5066072	6	3	9	9	3	3	1	5
SRR5085096	193	7	14	37	6	1	27	1
SRR5105955	1670	5	27	6	6	13	3	6
SRR5182487	2	1	1	11	11	2	1	5
SRR5184994	1	3	1	1	1	3	1	3
SRR5251050	5	2	1	11	3	3	1	7
SRR5282220	1	3	1	1	1	3	1	3
SRR5341553	31	7	14	10	19	9	8	1
SRR5341885	1	3	1	1	1	3	1	3
SRR5342838	31	7	14	10	19	9	8	1
SRR5342839	31	7	14	10	19	9	8	1
SRR5344980	1	3	1	1	1	3	1	3
SRR5378787	3	4	4	4	3	2	1	5
SRR5378819	1	3	1	1	1	3	1	3
SRR5380992	6	3	9	9	3	3	1	5
SRR5486795	321	5	6	8	62	6	7	34
SRR5494839	5	2	1	11	3	3	1	7
SRR5494844	5	2	1	11	3	3	1	7
SRR5494845	5	2	1	11	3	3	1	7
SRR5629166	5	2	1	11	3	3	1	7
SRR5645596	5	2	1	11	3	3	1	7
SRR5645600	5	2	1	11	3	3	1	7
SRR5646644	360	7	6	17	6	5	2	1
SRR5663603	5	2	1	11	3	3	1	7
SRR5663634	5	2	1	11	3	3	1	7
SRR5667286	2	1	1	11	11	2	1	5
SRR5676318	1	3	1	1	1	3	1	3
SRR5817980	2	1	1	11	11	2	1	5
SRR5947665	6	3	9	9	3	3	1	5
SRR5985519	6	3	9	9	3	3	1	5
SRR5985678	6	3	9	9	3	3	1	5
SRR5990406	6	3	9	9	3	3	1	5
SRR6207491	6	3	9	9	3	3	1	5
SRR6224689	6	3	9	9	3	3	1	5
SRR6236574	391	7	6	62	28	5	2	1
SRR6288265	11	7	6	10	6	1	2	1
SRR6288283	2	1	1	11	11	2	1	5
SRR6321747	31	7	14	10	19	9	8	1
SRR6321790	6	3	9	9	3	3	1	5
SRR6325477	1649	277	250	2	242	1	2	1
SRR6344350	5	2	1	11	3	3	1	7
SRR6366187	1	3	1	1	1	3	1	3
SRR6436646	9	6	5	6	4	1	4	1
SRR6443386	1	3	1	1	1	3	1	3
SRR6446755	1	3	1	1	1	3	1	3
SRR6475359	1	3	1	1	1	3	1	3
SRR6475362	1	3	1	1	1	3	1	3
SRR6745671	5	2	1	11	3	3	1	7
SRR6860656	1	3	1	1	1	3	1	3
SRR6881693	38	7	15	15	8	11	14	9
SRR8172414	5	2	1	11	3	3	1	7
SRR8187275	5	2	1	11	3	3	1	7
SRR8187276	5	2	1	11	3	3	1	7
SRR8210492	325	7	14	10	19	1	8	1
SRR8211561	5	2	1	11	3	3	1	7
SRR8212882	3	4	4	4	3	2	1	5
SRR8215997	2	1	1	11	11	2	1	5
SRR8216051	3	4	4	4	3	2	1	5
SRR8216056	3	4	4	4	3	2	1	5
SRR8216059	325	7	14	10	19	1	8	1
SRR8216314	6	3	9	9	3	3	1	5
SRR8216391	325	7	14	10	19	1	8	1
SRR8216395	394	5	5	17	21	39	2	6
SRR8216405	394	5	5	17	21	39	2	6
SRR8235317	394	5	5	17	21	39	2	6
SRR8235320	554	2	1	9	1	3	5	5
SRR8235343	394	5	5	17	21	39	2	6
SRR8235369	2	1	1	11	11	2	1	5
SRR8235627	394	5	5	17	21	39	2	6
SRR8535384	3	4	4	4	3	2	1	5
SRR8535474	3	4	4	4	3	2	1	5
SRR8767216	1	3	1	1	1	3	1	3
SRR8767231	1	3	1	1	1	3	1	3
SRR8767292	3	4	4	4	3	2	1	5
SRR8767294	3	4	4	4	3	2	1	5
SRR8767295	3	4	4	4	3	2	1	5
SRR8767298	3	4	4	4	3	2	1	5
SRR8767299	3	4	4	4	3	2	1	5
SRR8767309	3	4	4	4	3	2	1	5
SRR8767310	191	11	1	36	2	3	1	7
SRR8767312	3	4	4	4	3	2	1	5
SRR8767314	3	4	4	4	3	2	1	5
SRR8767316	3	4	4	4	3	2	1	5
SRR8767327	3	4	4	4	3	2	1	5
SRR8767330	3	4	4	4	3	2	1	5
SRR8767333	3	4	4	4	3	2	1	5
SRR8767338	3	4	4	4	3	2	1	5
SRR8767396	3	4	4	4	3	2	1	5
SRR8767575	1	3	1	1	1	3	1	3
SRR8767730	1	3	1	1	1	3	1	3
SRR8767761	1	3	1	1	1	3	1	3
SRR8767770	8	5	6	2	9	5	3	1
SRR8767781	8	5	6	2	9	5	3	1
SRR8767782	191	11	1	36	2	3	1	7
SRR8767785	8	5	6	2	9	5	3	1
SRR8767791	1	3	1	1	1	3	1	3
SRR8767792	1	3	1	1	1	3	1	3
SRR8767794	1	3	1	1	1	3	1	3
SRR8767795	1	3	1	1	1	3	1	3
SRR8767797	8	5	6	2	9	5	3	1
SRR8767799	1	3	1	1	1	3	1	3
SRR8837400	1	3	1	1	1	3	1	3
SRR8837414	1	3	1	1	1	3	1	3
SRR8837515	1	3	1	1	1	3	1	3
SRR8837524	1	3	1	1	1	3	1	3
SRR8838736	1	3	1	1	1	3	1	3
SRR8838742	1	3	1	1	1	3	1	3
SRR8838745	1	3	1	1	1	3	1	3
SRR8838748	1	3	1	1	1	3	1	3
SRR8838749	1	3	1	1	1	3	1	3
SRR8838750	1	3	1	1	1	3	1	3
SRR9335703	2	1	1	11	11	2	1	5
SRR955385	6	3	9	9	3	3	1	5
SRR955387	6	3	9	9	3	3	1	5
SRR9732314	3	4	4	4	3	2	1	5
SRR975370	121	7	6	8	8	6	37	1
SRR3659467	1	3	1	1	1	3	1	3
SRR5378820	1	3	1	1	1	3	1	3
SRR6805490	5	2	1	11	3	3	1	7
ERR1100936	1	3	1	1	1	3	1	3
ERR1100938	1	3	1	1	1	3	1	3
ERR1100943	1	3	1	1	1	3	1	3
ERR1100965	10	3	1	20	1	3	1	3
ERR1100970	2	1	1	11	11	2	1	5
ERR1100909	2	1	1	11	11	2	1	5
ERR1100934	553	1	1	11	11	2	225	5
ERR1100944	386	11	3	12	38	3	94	42
ERR1100935	3	4	4	4	3	2	1	5
ERR1100910	3	4	4	4	3	2	1	5
ERR1100930	194	3	18	27	3	4	1	5
ERR1100939	4	1	2	12	3	2	5	3
ERR1100967	4	1	2	12	3	2	5	3
ERR1100911	4	1	2	12	3	2	5	3
ERR1100912	5	2	1	11	3	3	1	7
ERR1100968	5	2	1	11	3	3	1	7
ERR1100921	59	11	1	12	16	3	1	7
ERR1100941	59	11	1	12	16	3	1	7
ERR1100918	59	11	1	12	16	3	1	7
ERR1100954	615	3	9	9	3	3	12	5
ERR1100942	6	3	9	9	3	3	1	5
ERR1100913	6	3	9	9	3	3	1	5
ERR1100951	6	3	9	9	3	3	1	5
ERR1100923	77	11	9	11	15	3	1	2
ERR1100924	54	1	1	12	17	2	1	3
ERR1100922	87	12	1	4	14	3	39	4
ERR1100932	101	7	15	15	8	6	14	9
ERR1100948	621	99	6	10	6	1	2	1
ERR1100933	121	7	6	8	8	6	37	1
ERR1100947	121	7	6	8	8	6	37	1
ERR1100966	121	7	6	8	8	6	37	1
ERR1100919	121	7	6	8	8	6	37	1
ERR1100974	121	7	6	8	8	6	37	1
ERR1100946	14	8	6	13	6	5	2	1
ERR1100937	155	7	10	16	7	5	2	1
ERR1100920	155	7	10	16	7	5	2	1
ERR1100917	18	7	6	15	18	12	6	1
ERR1100945	18	7	6	15	18	12	6	1
ERR1100952	19	7	6	19	6	1	24	1
ERR1100961	193	7	14	37	6	1	27	1
ERR1100962	193	7	14	37	6	1	27	1
ERR1100963	193	7	14	37	6	1	27	1
ERR1100964	196	7	14	10	6	1	27	1
ERR1100929	199	9	10	15	6	8	26	1
ERR1100928	20	17	13	3	6	5	7	1
ERR1100931	204	5	7	6	4	5	4	1
ERR1100927	26	5	10	8	21	6	2	1
ERR1100958	31	7	14	10	19	9	8	1
ERR1100959	31	7	14	10	19	9	8	1
ERR1100960	31	7	14	10	19	9	8	1
ERR1100926	37	5	7	3	5	1	8	6
ERR1100925	620	7	87	8	6	1	2	1
ERR1100914	624	5	8	105	7	6	2	1
ERR1100949	7	5	8	5	7	6	2	1
ERR1100953	98	5	8	5	7	6	45	1
ERR1100940	8	5	6	2	9	5	3	1
ERR1100915	8	5	6	2	9	5	3	1
ERR1100955	391	7	6	62	28	5	2	1
ERR1100969	441	6	64	6	4	1	4	1
ERR1100916	441	6	64	6	4	1	4	1
ERR1100971	622	100	5	6	4	1	4	1
ERR1100950	9	6	5	6	4	1	4	1
ERR1100972	9	6	5	6	4	1	4	1
ERR1100973	9	6	5	6	4	1	4	1
ERR1100975	9	6	5	6	4	1	4	1
ERR1100976	9	6	5	6	4	1	4	1
ERR1100956	13	7	6	17	6	10	8	1
ERR1100957	13	7	6	17	6	10	8	1
ERR1100977	623	18	11	21	24	17	248	13
